距離 STOP_DISTANCE68000
直線速度 sp055
レーンチェンジ速度 lcspeed47
クランク速度 clspeed36
カーブブレーキ速度 cbrksp1 42
カーブ速度 cbspeed40
時間,パターン,角度,左前,右前,左後,右後,速度,左端,左中,中央,右中,右端,坂
1250,11,-2,100,98,100,98,50,892,730,136,841,884,785
1260,11,-1,100,99,100,99,51,908,762,97,807,917,792
1270,11,-1,100,99,100,99,51,903,767,111,807,896,768
1280,11,0,100,100,100,100,51,897,789,105,807,916,783
1290,11,-1,100,99,100,99,51,892,764,118,809,907,769
1300,11,-2,100,98,100,98,51,911,761,113,803,900,780
1310,11,-1,100,99,100,99,52,875,749,108,819,880,772
1320,11,-1,100,99,100,99,52,922,791,86,824,921,770
1330,11,0,100,100,100,100,53,887,782,105,811,897,776
1340,11,1,99,100,99,100,53,885,797,103,762,876,773
1350,11,1,99,100,99,100,53,888,801,96,785,887,792
1360,11,1,99,100,99,100,53,892,828,105,775,918,771
1370,11,1,99,100,99,100,53,917,821,96,764,893,772
1380,11,2,98,100,98,100,53,896,809,124,725,915,776
1390,11,3,97,100,97,100,53,918,860,147,733,911,775
1400,11,2,98,100,98,100,53,896,825,132,729,885,788
1410,11,1,99,100,99,100,52,903,799,104,772,895,777
1420,11,0,100,100,100,100,53,905,790,81,813,886,772
1430,11,-1,100,99,100,99,53,881,779,91,825,923,769
1440,11,-1,100,99,100,99,53,892,778,100,831,911,775
1450,11,-2,100,98,100,98,53,877,724,96,808,920,771
1460,11,-1,100,99,100,99,52,921,753,88,815,900,788
1470,11,-1,100,99,100,99,52,900,749,109,834,911,783
1480,11,-2,100,98,100,98,53,916,760,110,837,897,775
1490,11,-2,100,98,100,98,53,906,729,132,846,922,776
1500,11,-3,100,97,100,97,54,901,718,142,839,888,788
1510,11,-1,100,99,100,99,54,878,771,86,829,916,774
1520,11,-1,100,99,100,99,55,890,790,94,796,920,788
1530,11,1,99,100,99,100,55,916,811,101,772,874,768
1540,11,1,99,100,99,100,55,903,800,88,777,878,773
1550,11,0,100,100,100,100,55,880,813,92,773,876,769
1560,11,0,100,100,100,100,54,876,770,77,809,912,774
1570,11,1,99,100,99,100,55,919,788,121,791,921,771
1580,11,0,100,100,100,100,55,876,814,120,804,879,792
1590,11,0,100,100,100,100,55,879,771,112,776,890,781
1600,11,-1,100,99,100,99,54,921,748,116,830,913,787
1610,11,0,100,100,100,100,55,905,768,95,788,913,779
1620,11,-1,100,99,100,99,55,902,781,119,813,889,781
1630,11,-2,100,98,100,98,54,912,771,87,824,899,773
1640,11,-1,100,99,100,99,55,922,771,107,792,915,790
1650,11,-2,100,98,100,98,54,921,761,112,849,902,771
1660,11,-2,100,98,100,98,54,894,742,132,804,919,768
1670,11,-2,100,98,100,98,54,895,750,96,849,906,782
1680,11,-2,100,98,100,98,54,908,753,89,829,900,782
1690,11,-1,100,99,100,99,54,883,768,116,813,881,782
1700,11,0,100,100,100,100,54,900,780,112,808,905,791
1710,11,-1,100,99,100,99,54,890,772,86,801,884,791
1720,11,-2,100,98,100,98,55,907,732,95,807,889,777
1730,11,-2,100,98,100,98,55,906,728,97,819,876,780
1740,11,-2,100,98,100,98,55,885,771,102,801,887,791
1750,11,-1,100,99,100,99,55,920,767,106,822,895,775
1760,11,-1,100,99,100,99,55,918,778,107,796,883,771
1770,11,-1,100,99,100,99,55,906,751,99,823,910,788
1780,11,0,100,100,100,100,55,898,767,117,792,907,773
1790,11,0,100,100,100,100,55,875,808,120,772,887,774
1800,11,0,100,100,100,100,55,921,792,80,795,901,790
1810,11,-1,100,99,100,99,55,914,764,95,821,897,789
1820,11,-1,100,99,100,99,54,921,782,108,816,887,780
1830,11,-2,100,98,100,98,54,895,743,122,817,888,775
1840,11,-2,100,98,100,98,54,922,771,137,848,897,773
1850,11,-1,100,99,100,99,54,915,777,101,812,886,772
1860,11,-1,100,99,100,99,54,915,786,101,799,902,772
1870,11,-1,100,99,100,99,54,913,757,113,819,923,789
1880,11,-2,100,98,100,98,54,910,736,99,815,898,781
1890,11,-2,100,98,100,98,54,919,730,102,819,879,786
1900,11,-1,100,99,100,99,55,881,787,109,785,875,770
1910,11,-2,100,98,100,98,55,879,730,99,839,892,772
1920,11,-2,100,98,100,98,54,901,753,121,849,879,785
1930,11,-1,100,99,100,99,55,884,780,104,821,896,771
1940,11,-1,100,99,100,99,55,886,753,102,787,898,772
1950,11,-2,100,98,100,98,55,882,752,124,808,890,790
1960,11,-1,100,99,100,99,55,916,764,99,832,878,788
1970,11,-1,100,99,100,99,55,875,748,114,834,915,771
1980,11,-1,100,99,100,99,55,919,747,114,815,891,789
1990,11,-1,100,99,100,99,55,900,784,88,806,895,785
2000,11,-1,100,99,100,99,54,892,770,94,833,918,779
2010,11,-1,100,99,100,99,55,914,762,94,799,904,788
2020,11,1,99,100,99,100,55,894,812,98,774,894,771
2030,11,0,100,100,100,100,54,920,797,107,806,920,787
2040,11,-1,100,99,100,99,54,908,780,121,788,876,788
2050,11,0,100,100,100,100,54,879,775,76,805,920,788
2060,11,1,99,100,99,100,54,881,800,113,789,883,769
2070,11,0,100,100,100,100,53,906,813,77,795,876,771
2080,11,0,100,100,100,100,54,909,786,78,800,904,789
2090,11,0,100,100,100,100,54,895,771,107,777,882,768
2100,11,-1,100,99,100,99,54,908,795,121,795,880,783
2110,11,0,100,100,100,100,54,886,803,84,769,913,790
2120,11,-1,100,99,100,99,54,912,760,106,809,908,776
2130,11,-2,100,98,100,98,55,876,725,131,834,905,780
2140,11,-1,100,99,100,99,54,882,789,102,787,893,786
2150,11,-1,100,99,100,99,55,882,794,83,832,883,781
2160,11,0,100,100,100,100,55,897,780,112,783,888,787
2170,11,0,100,100,100,100,55,916,783,105,815,916,787
2180,11,0,100,100,100,100,56,923,779,94,785,913,775
2190,11,0,100,100,100,100,56,874,779,96,796,915,769
2200,11,-1,100,99,100,99,56,919,795,85,833,914,785
2210,11,0,100,100,100,100,56,892,770,102,806,884,792
2220,11,1,99,100,99,100,56,890,787,97,781,920,786
2230,11,2,98,100,98,100,56,897,804,127,761,886,786
2240,11,1,99,100,99,100,56,916,800,103,756,885,770
2250,11,1,99,100,99,100,56,892,812,98,772,882,769
2260,11,1,99,100,99,100,56,918,803,101,750,890,768
2270,11,1,99,100,99,100,56,875,786,127,789,898,786
2280,11,2,98,100,98,100,55,888,805,109,752,904,772
2290,11,1,99,100,99,100,55,884,793,82,748,902,790
2300,11,2,98,100,98,100,55,920,803,117,742,880,770
2310,11,2,98,100,98,100,55,906,848,121,742,896,773
2320,11,1,99,100,99,100,55,910,793,125,793,877,785
2330,11,1,99,100,99,100,55,877,824,113,778,923,769
2340,11,1,99,100,99,100,55,875,794,115,775,896,788
2350,11,0,100,100,100,100,54,887,772,99,775,886,772
2360,11,1,99,100,99,100,55,898,830,118,754,916,770
2370,11,2,98,100,98,100,55,919,807,109,727,920,768
2380,11,2,98,100,98,100,55,891,841,111,754,881,775
2390,11,1,99,100,99,100,56,897,829,100,753,895,775
2400,11,0,100,100,100,100,55,916,783,83,791,890,783
2410,11,1,99,100,99,100,55,877,829,111,756,898,777
2420,11,2,98,100,98,100,54,923,821,100,734,886,780
2430,11,2,98,100,98,100,54,877,836,102,771,875,784
2440,11,1,99,100,99,100,54,874,826,104,755,896,781
2450,11,1,99,100,99,100,54,881,793,116,781,884,770
2460,11,2,98,100,98,100,54,911,838,96,729,907,788
2470,11,2,98,100,98,100,55,884,803,124,743,910,769
2480,11,1,99,100,99,100,55,888,816,125,750,895,792
2490,11,2,98,100,98,100,55,888,809,129,741,882,779
2500,11,3,97,100,97,100,55,892,860,151,700,892,775
2510,11,3,97,100,97,100,55,890,849,122,734,877,771
2520,11,3,97,100,97,100,56,900,840,129,697,922,775
2530,11,2,98,100,98,100,56,890,828,135,723,920,791
2540,11,0,100,100,100,100,55,904,795,101,801,879,771
2550,11,-1,100,99,100,99,56,880,770,103,798,880,780
2560,11,-1,100,99,100,99,56,885,757,111,807,894,768
2570,11,-1,100,99,100,99,56,895,788,104,804,921,792
2580,11,-1,100,99,100,99,56,916,781,120,812,924,778
2590,11,0,100,100,100,100,56,877,792,122,813,887,781
2600,11,-1,100,99,100,99,56,880,755,94,794,908,775
2610,11,0,100,100,100,100,56,913,813,106,807,918,769
2620,11,0,100,100,100,100,55,888,800,88,793,920,787
2630,11,-1,100,99,100,99,55,875,758,80,790,892,773
2640,11,0,100,100,100,100,55,922,792,88,790,901,772
2650,11,0,100,100,100,100,55,918,812,103,780,911,791
2660,11,1,99,100,99,100,55,905,813,110,756,910,782
2670,11,0,100,100,100,100,55,898,807,76,783,884,785
2680,11,0,100,100,100,100,55,875,784,118,778,902,783
2690,11,1,99,100,99,100,55,885,787,79,773,904,779
2700,11,0,100,100,100,100,55,894,788,111,772,885,789
2710,11,-1,100,99,100,99,55,891,763,111,815,917,784
2720,11,0,100,100,100,100,55,920,816,88,798,906,790
2730,11,1,99,100,99,100,54,875,823,107,771,922,786
2740,11,2,98,100,98,100,54,888,831,93,765,909,777
2750,11,1,99,100,99,100,54,894,812,97,762,913,783
2760,11,0,100,100,100,100,54,901,806,96,785,886,778
2770,11,1,99,100,99,100,54,916,832,88,767,920,768
2780,11,0,100,100,100,100,54,919,781,101,782,905,781
2790,11,0,100,100,100,100,54,908,786,92,796,892,768
2800,11,0,100,100,100,100,54,879,785,95,794,903,774
2810,11,0,100,100,100,100,54,896,797,124,783,901,770
2820,11,0,100,100,100,100,54,923,808,100,772,919,790
2830,11,1,99,100,99,100,54,900,833,109,772,915,774
2840,11,0,100,100,100,100,54,883,798,105,784,924,788
2850,11,1,99,100,99,100,54,875,784,113,773,920,780
2860,11,1,99,100,99,100,55,908,794,103,773,887,788
2870,11,1,99,100,99,100,55,881,794,108,753,900,784
2880,11,0,100,100,100,100,55,883,792,116,797,915,769
2890,11,0,100,100,100,100,55,903,773,86,780,876,788
2900,11,1,99,100,99,100,55,903,802,100,765,877,780
2910,11,2,98,100,98,100,55,896,831,100,725,921,773
2920,11,3,97,100,97,100,54,915,828,133,744,899,770
2930,11,2,98,100,98,100,54,910,811,103,766,898,775
2940,11,1,99,100,99,100,54,893,785,122,765,892,778
2950,11,1,99,100,99,100,54,894,787,84,787,892,775
2960,11,1,99,100,99,100,54,892,806,92,747,914,775
2970,11,-1,100,99,100,99,54,888,787,84,806,916,775
2980,11,-1,100,99,100,99,54,910,765,126,795,922,784
2990,11,0,100,100,100,100,54,908,813,124,796,896,779
3000,11,0,100,100,100,100,54,900,773,112,800,879,776
3010,11,1,99,100,99,100,54,876,820,85,746,910,790
3020,11,1,99,100,99,100,54,890,817,83,774,892,784
3030,11,0,100,100,100,100,54,910,771,89,807,894,779
3040,11,1,99,100,99,100,54,913,828,121,752,888,768
3050,11,2,98,100,98,100,54,909,845,88,758,897,780
3060,11,2,98,100,98,100,54,883,806,133,759,910,769
3070,11,2,98,100,98,100,54,896,838,95,759,902,788
3080,11,1,99,100,99,100,54,916,813,113,758,896,789
3090,11,2,98,100,98,100,54,880,838,120,767,918,786
3100,11,1,99,100,99,100,54,887,790,117,756,920,791
3110,11,0,100,100,100,100,55,911,816,105,777,901,779
3120,11,0,100,100,100,100,55,921,801,111,808,906,782
3130,11,1,99,100,99,100,55,885,818,120,785,899,774
3140,11,1,99,100,99,100,55,915,797,105,794,906,785
3150,11,2,98,100,98,100,55,883,817,92,754,881,789
3160,11,2,98,100,98,100,55,886,812,113,745,921,779
3170,11,1,99,100,99,100,55,910,814,90,777,880,781
3180,11,0,100,100,100,100,55,908,796,98,805,916,771
3190,11,-1,100,99,100,99,55,898,748,122,799,880,777
3200,11,-2,100,98,100,98,55,890,746,105,808,878,768
3210,11,-1,100,99,100,99,55,898,783,94,821,888,788
3220,11,-1,100,99,100,99,55,884,773,78,830,907,788
3230,11,0,100,100,100,100,55,909,799,78,804,875,780
3240,11,0,100,100,100,100,56,884,798,117,813,883,791
3250,11,0,100,100,100,100,56,891,775,116,782,893,785
3260,11,1,99,100,99,100,56,887,787,83,786,920,790
3270,11,0,100,100,100,100,56,885,787,111,816,904,788
3280,11,0,100,100,100,100,56,882,788,123,771,876,782
3290,11,0,100,100,100,100,56,893,768,105,808,900,772
3300,11,0,100,100,100,100,55,900,787,91,788,908,773
3310,11,-1,100,99,100,99,56,889,768,106,802,884,770
3320,11,-1,100,99,100,99,56,896,772,109,792,894,787
3330,11,0,100,100,100,100,56,877,800,105,781,903,779
3340,11,0,100,100,100,100,56,889,783,119,768,884,789
3350,11,1,99,100,99,100,56,882,813,105,793,892,775
3360,11,1,99,100,99,100,56,880,793,122,773,880,776
3370,11,0,100,100,100,100,56,908,802,86,789,901,790
3380,11,0,100,100,100,100,56,904,770,95,770,896,784
3390,11,0,100,100,100,100,56,912,772,124,802,879,789
3400,11,-1,100,99,100,99,55,922,774,116,791,913,769
3410,11,-2,100,98,100,98,55,876,758,135,823,880,772
3420,11,0,100,100,100,100,55,905,810,103,812,918,773
3430,11,0,100,100,100,100,55,914,803,75,779,886,784
3440,11,1,99,100,99,100,55,910,786,108,751,902,787
3450,11,2,98,100,98,100,55,908,813,97,745,916,786
3460,11,3,97,100,97,100,55,899,817,115,704,920,789
3470,11,3,97,100,97,100,55,904,826,152,734,887,782
3480,11,2,98,100,98,100,55,882,825,131,762,876,773
3490,11,3,97,100,97,100,55,904,855,151,731,896,775
3500,11,2,98,100,98,100,55,878,816,98,767,903,769
3510,11,3,97,100,97,100,55,911,830,126,743,889,778
3520,11,2,98,100,98,100,55,875,823,136,725,881,789
3530,11,2,98,100,98,100,55,878,849,105,751,903,772
3540,11,0,100,100,100,100,55,902,805,118,805,906,788
3550,11,1,99,100,99,100,55,914,796,117,753,878,792
3560,11,1,99,100,99,100,55,917,796,121,781,891,790
3570,11,0,100,100,100,100,54,924,790,93,778,886,779
3580,11,-1,100,99,100,99,54,919,779,98,804,913,773
3590,11,-1,100,99,100,99,54,910,758,106,817,923,770
3600,11,-1,100,99,100,99,55,878,755,107,834,892,792
3610,11,0,100,100,100,100,55,920,808,90,775,919,785
3620,11,-1,100,99,100,99,54,888,781,89,804,884,787
3630,11,-1,100,99,100,99,54,879,758,80,791,877,770
3640,11,0,100,100,100,100,55,891,773,84,793,918,788
3650,11,-1,100,99,100,99,54,890,789,79,809,905,778
3660,11,0,100,100,100,100,54,914,771,105,805,924,780
3670,11,0,100,100,100,100,54,875,812,103,816,877,787
3680,11,1,99,100,99,100,54,882,785,88,772,916,779
3690,11,0,100,100,100,100,55,901,796,102,799,904,778
3700,11,1,99,100,99,100,54,915,808,79,778,907,785
3710,11,0,100,100,100,100,55,888,792,122,773,875,783
3720,11,1,99,100,99,100,54,923,792,109,766,923,768
3730,11,0,100,100,100,100,55,901,776,113,779,905,791
3740,11,-1,100,99,100,99,54,911,792,86,786,913,775
3750,11,0,100,100,100,100,54,885,812,120,786,885,768
3760,11,1,99,100,99,100,54,878,816,98,789,877,786
3770,11,2,98,100,98,100,54,893,833,130,724,875,790
3780,11,1,99,100,99,100,54,884,822,110,761,924,774
3790,11,1,99,100,99,100,54,898,831,116,793,881,777
3800,21,1,69,71,69,71,53,899,829,86,780,904,782
3810,21,0,70,70,70,70,52,913,809,111,769,913,782
3820,21,1,69,71,69,71,51,924,799,79,751,923,768
3830,21,0,70,70,70,70,50,899,784,112,789,894,781
3840,21,2,68,72,68,72,49,910,844,136,724,886,788
3850,21,1,69,71,69,71,49,900,796,99,751,875,778
3860,21,0,70,70,70,70,48,922,815,101,766,885,785
3870,21,1,69,71,69,71,47,899,790,95,770,920,779
3880,21,3,111,111,111,111,47,923,824,106,732,875,776
3890,21,2,111,111,111,111,46,900,820,115,741,874,790
3900,21,2,68,72,68,72,46,888,816,108,772,911,776
3910,21,3,67,73,67,73,45,895,862,122,716,894,772
3920,21,4,66,74,66,74,45,886,850,173,702,910,775
3930,21,5,65,75,65,75,45,879,865,151,672,893,785
3940,21,6,64,76,64,76,45,902,858,229,602,910,783
3950,21,6,64,76,64,76,44,924,854,212,639,891,790
3960,21,8,62,78,62,78,44,888,887,295,529,911,789
3970,21,9,61,79,61,79,43,888,904,317,521,896,783
3980,21,10,59,81,59,81,43,878,900,354,453,877,779
3990,21,10,59,81,59,81,43,916,885,368,484,913,769
4000,21,10,59,81,59,81,42,918,884,356,478,887,779
4010,21,11,58,82,58,82,42,901,888,383,420,916,790
4020,21,12,57,83,57,83,42,911,876,447,357,870,783
4030,21,11,58,82,58,82,41,893,882,398,401,876,786
4040,21,12,57,83,57,83,41,890,894,467,370,877,782
4050,21,13,56,84,56,84,41,917,879,485,354,891,779
4060,21,14,55,85,55,85,41,893,872,543,322,878,787
4070,21,14,55,85,55,85,41,894,899,552,283,905,790
4080,21,13,56,84,56,84,41,885,912,468,337,880,781
4090,21,15,54,86,54,86,41,912,873,575,257,875,781
4100,21,15,54,86,54,86,41,919,893,570,259,893,789
4110,21,15,54,86,54,86,41,902,918,560,250,871,782
4120,21,15,54,86,54,86,40,878,912,551,238,889,786
4130,21,16,53,87,53,87,40,884,889,627,225,883,786
4140,21,16,53,87,53,87,40,877,904,600,207,895,773
4150,21,16,53,87,53,87,40,888,888,596,240,873,784
4160,21,17,52,88,52,88,41,890,885,638,186,865,777
4170,21,17,52,88,52,88,40,901,892,642,189,868,779
4180,21,17,52,88,52,88,41,897,908,652,201,839,770
4190,21,18,51,89,51,89,41,891,887,692,151,865,786
4200,21,18,51,89,51,89,41,911,883,662,145,872,771
4210,21,20,48,92,48,92,40,878,904,719,140,835,773
4220,21,20,48,92,48,92,40,908,889,720,136,814,790
4230,21,20,48,92,48,92,40,879,913,757,115,840,776
4240,21,20,48,92,48,92,40,896,917,756,101,815,782
4250,21,20,48,92,48,92,40,904,890,738,102,852,778
4260,21,20,48,92,48,92,40,922,907,721,143,823,772
4270,21,20,48,92,48,92,40,902,879,733,130,828,789
4280,21,19,50,90,50,90,40,892,906,693,145,845,770
4290,21,20,48,92,48,92,40,912,899,756,99,831,777
4300,21,20,48,92,48,92,40,879,881,723,139,849,775
4310,21,20,48,92,48,92,40,904,879,710,104,814,777
4320,21,21,47,93,47,93,40,897,886,772,91,832,777
4330,21,22,46,94,46,94,40,897,912,762,83,795,769
4340,21,22,46,94,46,94,39,879,907,763,104,793,779
4350,21,23,45,95,45,95,40,892,907,780,76,789,783
4360,21,23,45,95,45,95,39,880,886,783,89,783,778
4370,21,23,45,95,45,95,39,901,900,794,85,776,774
4380,21,24,44,96,44,96,40,911,901,804,86,740,769
4390,21,25,43,97,43,97,40,903,909,818,132,717,776
4400,21,25,43,97,43,97,41,906,880,835,100,743,774
4410,21,25,43,97,43,97,40,914,910,810,106,740,771
4420,21,26,42,98,42,98,40,909,915,836,153,705,773
4430,21,27,41,99,41,99,39,895,895,834,148,689,789
4440,21,27,41,99,41,99,39,913,885,876,170,688,770
4450,21,28,40,100,40,100,40,898,899,877,210,657,788
4460,21,29,39,100,39,100,39,877,893,866,230,632,786
4470,21,29,39,100,39,100,39,908,912,852,239,630,769
4480,21,30,37,100,37,100,39,915,904,873,275,585,784
4490,21,30,37,100,37,100,39,901,922,857,282,585,776
4500,21,31,36,100,36,100,39,887,904,885,317,534,789
4510,21,29,39,100,39,100,40,908,894,877,236,601,780
4520,21,28,40,100,40,100,40,907,916,855,194,661,777
4530,21,27,41,99,41,99,39,875,880,870,157,682,782
4540,21,27,41,99,41,99,39,879,894,853,138,669,776
4550,21,28,40,100,40,100,39,895,901,850,175,650,780
4560,21,27,41,99,41,99,39,888,922,848,147,697,787
4570,21,28,40,100,40,100,39,890,890,882,204,649,773
4580,21,27,41,99,41,99,39,917,880,842,164,685,791
4590,21,26,42,98,42,98,39,902,918,845,131,729,776
4600,21,25,43,97,43,97,40,906,897,855,112,743,788
4610,21,26,42,98,42,98,40,915,877,852,137,717,768
4620,21,27,41,99,41,99,39,909,902,852,174,697,791
4630,21,27,41,99,41,99,39,922,899,830,183,666,774
4640,21,27,41,99,41,99,40,877,894,867,168,666,792
4650,21,27,41,99,41,99,39,876,902,850,140,700,788
4660,21,28,40,100,40,100,39,910,909,852,173,648,769
4670,21,28,40,100,40,100,40,881,900,882,173,656,773
4680,21,28,40,100,40,100,40,904,923,877,183,654,776
4690,21,29,39,100,39,100,40,884,891,868,203,597,780
4700,21,29,39,100,39,100,39,898,880,892,229,609,781
